Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
117,,45,117,Discover SCU11,"Rackable Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR",NASA/Goddard Space Flight Center,SGI,United States,2015,Research,17136,0,548672,712858,0,0,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,SUSE Linux Enterprise Server 11,Linux,None,14,Intel Xeon E5 (Haswell),Rackable Cluster,Rackable Cluster,Infiniband,Infiniband FDR,North America,Americas
118,,45,118,Discover SCU12,"Rackable Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR",NASA/Goddard Space Flight Center,SGI,United States,2015,Research,17136,0,548672,712858,0,0,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,SUSE Linux Enterprise Server 11,Linux,None,14,Intel Xeon E5 (Haswell),Rackable Cluster,Rackable Cluster,Infiniband,Infiniband FDR,North America,Americas
119,,45,119,,"Cluster Platform DL380p Gen8 , Intel Xeon E5-2650v2  8C 2.6GHz, 10G Ethernet",Hosting Services,Hewlett-Packard,United States,2015,Industry,44832,0,547253,932506,0,0,,,Cluster,Intel Xeon E5-2650v2  8C 2.6GHz,Intel IvyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (IvyBridge),Cluster Platform DL380p Gen8 ,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
120,90,41,49,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Service Provider,Hewlett-Packard,United States,2013,Industry,42848,0,545510,891238,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
121,91,40,42,HIMAWARI,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",High Energy Accelerator Research Organization /KEK,IBM,Japan,2012,Research,49152,0,536663,629146,0,0,246.56,2176.6,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
122,92,39,36,SAKURA,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",High Energy Accelerator Research Organization /KEK,IBM,Japan,2012,Research,49152,0,536663,629146,0,0,246.56,2176.6,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
123,,45,123,Sky Bridge,"Cray CS300-LC, Xeon E5-2670 8C 2.6GHz, Intel Truscale",Sandia National Laboratories,Cray Inc.,United States,2015,Research,29584,0,532900,615347,3701687,0,675,789.48,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cray CS300-LC,Cray CS300,Infiniband,Intel Truscale,North America,Americas
124,93,40,52,SANAM,"Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000",King Abdulaziz City for Science and Technology,Adtech,Saudi Arabia,2012,Research,38400,33600,532600,1098000,1904640,0,179.15,2972.93,Cluster,Xeon E5-2650 8C 2GHz,Intel SandyBridge,2000,Linux,Linux,AMD FirePro S10000,8,Intel Xeon E5 (SandyBridge),Adtech ESC4000/FDR G2,Adtech Cluster,Infiniband,Infiniband FDR,Western Asia,Asia
125,94,41,53,HPCC,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m",University of Southern California,Hewlett-Packard,United States,2013,Academic,10920,6760,531600,690352,1377280,0,237,2243.04,Cluster,Xeon E5-2665 8C 2.4GHz,Intel SandyBridge,2400,Linux,Linux,Nvidia K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
126,,45,126,Tryton,"HP ProLiant XL230a Gen9, Xeon E5-2670v3 12C 2.3GHz, Infiniband",Academic Computer Centre in Gdansk,Megatel/Action,Poland,2015,Academic,17280,0,530460,635904,2336256,0,,,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP ProLiant XL230a Gen9,HP Cluster,Infiniband,Infiniband,Eastern Europe,Europe
127,95,43,72,HPC4,"HP POD - Cluster Platform BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",Airbus,Hewlett-Packard,France,2014,Industry,34560,0,516897,746496,0,0,,,Cluster,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),HP POD - Cluster Platform BL460c,HP Pod,Infiniband,Infiniband FDR,Western Europe,Europe
128,96,44,96,Shepard,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect , Intel Xeon Phi 5120D",Navy DSRC,Cray Inc.,United States,2014,Government,38608,7564,514900,761046.4,2809660,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,Intel Xeon Phi 5120D,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
129,97,44,97,Falcon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Idaho National Laboratory,SGI,United States,2014,Research,16416,0,511236,656640,2098560,0,226,2262.11,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
130,123,44,123,PORTHOS,"IBM NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR",EDF R&D,IBM,France,2014,Industry,16100,0,506357,669760,2088960,0,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,IBM NeXtScale,Infiniband,Infiniband FDR,Western Europe,Europe
131,98,42,62,,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.800GHz, Gigabit Ethernet",Energy Company (D),Hewlett-Packard,United States,2013,Industry,50400,0,499226.1,1128960,0,0,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
132,99,35,19,Mole-8.5,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan",China,2011,Academic,29440,26880,496500,1012650,768000,0,540,919.44,Cluster,Xeon X5520 4C 2.27GHz,Intel Nehalem,2267,Linux,Linux,NVIDIA 2050,4,Xeon 5500-series (Nehalem-EP),Mole-8.5 Cluster,Mole-8.5 Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
133,100,43,75,,"Cluster Platform SL230s Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",IT Provider (P),Hewlett-Packard,United States,2014,Industry,26688,0,489415.2,576460.8,0,0,,,Cluster,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
134,101,42,64,Amazon EC2 C3 Instance cluster,"Amazon EC2 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, 10G Ethernet",Amazon Web Services,Self-made,United States,2013,Industry,26496,0,484179,593510.4,3373325,0,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Amazon EC2 Cluster,NOW - Intel,10G,10G Ethernet,North America,Americas
135,,45,135,BEM,"Actina Solar 820 S6, Xeon E5-2670v3 12C 2.3GHz, Infiniband FDR",Wroclaw Centre for Networking and Supercomputing,ACTION,Poland,2015,Academic,17280,0,480108,635904,2360000,0,279,1720.82,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Scientific Linux,Linux,None,12,Intel Xeon E5 (Haswell),Actina Solar 820 S6,ACTION Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
136,102,43,77,,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, 10G Ethernet",IT Service Provider,Hewlett-Packard,United States,2014,Industry,33280,0,477968,745472,0,0,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
137,103,44,103,Armstrong,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect , Xeon Phi 5120D/Nvidia K40",Navy DSRC,Cray Inc.,United States,2014,Government,41196,10444,477000,820803.2,1707720,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,Xeon Phi 5120D/Nvidia K40,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
138,104,38,62,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",United Kingdom Meteorological Office,IBM,United Kingdom,2011,Research,18432,0,476333,565641.22,0,0,1040.18,457.93,MPP,POWER7 8C 3.84GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
139,,45,139,Mesabi,"HP Apollo 6000 Xl230/250 , Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",University of Minnesota/Supercomputing Institute,Hewlett-Packard,United States,2015,Academic,15360,0,474070,614400,1872000,0,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP Apollo 6000 Xl230/250 ,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
140,105,41,54,Beaufix,"Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",Meteo France,"Bull, Atos Group",France,2013,Research,24192,0,469097,522547.2,0,0,395,1187.59,Cluster,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Bullx Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
141,,45,141,,"SGI ICE XA, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",SGI,SGI,United States,2015,Vendor,13824,0,467072,575078,2359296,0,225.5,2071.27,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE XA,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
142,106,43,80,Prolix,"Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",Meteo France,"Bull, Atos Group",France,2014,Research,23760,0,464865,513216,1835904,0,,,Cluster,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Bullx Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
143,222,43,185,Shadow,"Cray CS300-LC, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 5110P",Mississippi State University,Cray Inc.,United States,2014,Academic,33600,28800,463117,592742,1240000,0,193.4,2394.61,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,Intel Xeon Phi 5110P,10,Intel Xeon E5 (IvyBridge),Cray CS300-LC,Cray CS300,Infiniband,Infiniband FDR,North America,Americas
144,107,40,44,,"Cluster Platform SL390s G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet, NVIDIA 2090",Geoscience (P),Hewlett-Packard,United States,2012,Industry,40320,23040,461793,1141459,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
145,108,40,48,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Energy Company (D),Hewlett-Packard,United States,2012,Industry,32256,0,457570.7,670925,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,10G,10G Ethernet,North America,Americas
146,,45,146,Santos Dumont GPU,"Bullx B710, Intel Xeon E5-2695v2 12C 2.4GHz, Infiniband FDR, Nvidia K40",Laboratório Nacional de Computação Científica,"Bull, Atos Group",Brazil,2015,Academic,10692,5940,456800,657518,1160192,0,,,Cluster,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,bullx SCS,Linux,Nvidia K40,12,Intel Xeon E5 (IvyBridge),Bullx B710,Bull Bullx,Infiniband,Infiniband FDR,South America,Americas
147,110,42,69,HPCC1,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14",Exploration & Production - Eni S.p.A.,IBM,Italy,2013,Industry,24000,0,454053.34,499200,0,0,498.53,910.78,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR14,Southern Europe,Europe
148,,45,148,,"Apollo 6000 XL2x0a, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",IT Provider (P),Hewlett-Packard,United States,2015,Industry,14448,0,445923,577920,0,0,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Apollo 6000 XL2x0a,HP Apollo,Infiniband,Infiniband QDR,North America,Americas
149,111,41,60,Makman,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Saudi Aramco,IBM/Lenovo,Saudi Arabia,2013,Industry,24336,0,441815,506189,3232768,600000,505.5,874.02,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband QDR,Western Asia,Asia
150,113,43,86,,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR",China Meteorological Administration,IBM,China,2014,Research,17920,0,434800,508928,2400000,0,544,799.26,Cluster,POWER7  8C 3.55GHz,Power,3550,AIX,Unix,None,8,POWER7,IBM Flex System p460,IBM Flex System,Infiniband,Infiniband QDR,Eastern Asia,Asia
151,112,43,85,,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR",China Meteorological Administration,IBM,China,2014,Research,17920,0,434800,508928,2400000,0,544,799.26,Cluster,POWER7  8C 3.55GHz,Power,3550,AIX,Unix,None,8,POWER7,IBM Flex System p460,IBM Flex System,Infiniband,Infiniband QDR,Eastern Asia,Asia
152,114,35,10,Red Sky,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband",Sandia National Laboratories / National Renewable Energy Laboratory,Sun Microsystems,United States,2010,Research,42440,0,433500,497396,2504421,0,,,Cluster,Xeon X5570 4C 2.93GHz,Intel Nehalem,2930,CentOS,Linux,None,4,Xeon 5500-series (Nehalem-EP),Sun Blade x6275,Sun Blade System,Infiniband,Infiniband,North America,Americas
153,115,38,27,Manny,"bullx DLC 720, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Bull,"Bull, Atos Group",France,2011,Vendor,12960,0,430459,539136,1969920,0,205,2099.8,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Redhat Enterprise Linux 6.4,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
154,116,42,72,,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet",Software Company (M),Hewlett-Packard,United States,2013,Industry,75664,0,426750.8,1089562,0,0,,,Cluster,Xeon E5-2450L 8C 1.8GHz,Intel SandyBridge,1800,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL360e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
155,,45,155,_wierk Computing Centre,"Supermicro TwinBlade SBI-7227R/Bull DLC B720, Intel Xeon E5-2680v2/E5-2650 v3  10C 2.8GHz, Infiniband QDR/FDR",National Centre for Nuclear Research,"Format, Bull, Atos Group",Poland,2015,Research,17960,0,423161,490432,2600000,400000,334,1266.95,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Scientific Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Supermicro TwinBlade SBI-7227R,Supermicro Cluster,Infiniband,Infiniband QDR,Eastern Europe,Europe
156,117,39,41,HA-PACS,"Xtreme-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Center for Computational Sciences, University of Tsukuba",Cray Inc.,Japan,2012,Academic,20800,16640,421600,778128,1954559,0,407.29,1035.13,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade 8204,Appro Xtreme-X,Infiniband,Infiniband QDR,Eastern Asia,Asia
157,118,41,64,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet, NVIDIA 2075",IT Service Provider,Hewlett-Packard,United States,2013,Industry,43264,10976,419387,1075350,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2075,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,10G,10G Ethernet,North America,Americas
158,119,40,53,Discover,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P",NASA Center for Climate Simulation,IBM,United States,2012,Government,35568,28080,417256,628842.24,960000,0,215.6,1935.32,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
159,120,40,55,HPCEE,"SGI Rackable C2112-4RP3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",DOE/National Energy Technology Laboratory,SGI,United States,2012,Research,24192,0,413500,503194,2422554,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI Rackable C2112-4RP3,Rackable Cluster,Infiniband,Infiniband QDR,North America,Americas
160,,45,160,Shoubu,"ExaScaler-1.4 80Brick, Xeon E5-2618Lv3  8C 2.3GHz, Infiniband FDR, PEZY-SC",Institute of Physical and Chemical Research (RIKEN),PEZY Computing / Exascaler Inc.,Japan,2015,Research,787968,786432,412673.98,842957,1474560,0,,,Cluster,Xeon E5-2618Lv3  8C 2.3GHz,Intel Haswell,2300,Linux,Linux,PEZY-SC,8,Intel Xeon E5 (Haswell),ExaScaler-1.4 80Brick,Pezy/Exascaler Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
161,121,44,121,Computerome,"Apollo 6000 XL230a, Xeon E5-2683v3 14C 2GHz, Infiniband FDR",Center for Biological Sequence Analysis - DTU,Hewlett-Packard,Denmark,2014,Research,15120,0,410780,483840,0,0,,,Cluster,Xeon E5-2683v3 14C 2GHz,Intel Haswell,2000,Linux,Linux,None,14,Intel Xeon E5 (Haswell),Apollo 6000 XL230a,HP Apollo,Infiniband,Infiniband FDR,Northern Europe,Europe
162,,45,162,,"Cluster Platform 3000 BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, 10G Ethernet",Automotive,Hewlett-Packard,United States,2015,Industry,28800,0,407298.17,622080,0,0,,,Cluster,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Cluster Platform 3000 BL460c,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
163,122,40,83,Triolith,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR",National Supercomputer Centre (NSC),Hewlett-Packard,Sweden,2012,Academic,25376,0,407240,446617.6,2375000,0,519,784.66,Cluster,Xeon E5-2660 8C 2.2GHz,Intel SandyBridge,2200,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Northern Europe,Europe
164,,45,164,Rice,"Cluster Platform DL60, Xeon E5-2660v3 10C 2.6GHz, Infiniband FDR",Purdue University,Hewlett-Packard,United States,2015,Academic,13200,0,407138,549120,1822464,0,,,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Cluster Platform DL60,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
165,124,43,95,CIMATEC Yemoja,"SGI ICE X, Intel Xeon E5-2690v2 10C 3GHz, Infiniband FDR",SENAI CIMATEC,SGI,Brazil,2014,Research,17200,0,405365,412800,2149120,0,,,Cluster,Intel Xeon E5-2690v2 10C 3GHz,Intel IvyBridge,3000,Redhat Enterprise Linux 6.5,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,South America,Americas
166,125,43,96,HPC4,"HP POD - Cluster Platform BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",Airbus,Hewlett-Packard,Germany,2014,Industry,21120,0,400413,456192,0,0,,,Cluster,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),HP POD - Cluster Platform BL460c,HP Pod,Infiniband,Infiniband FDR,Western Europe,Europe
167,126,38,63,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",United Kingdom Meteorological Office,IBM,United Kingdom,2011,Research,15360,0,396944.44,471367.68,0,0,866.82,457.93,MPP,POWER7 8C 3.84GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
168,127,39,44,,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Norwegian University of Science and Technology,SGI,Norway,2012,Academic,22048,0,396700,458598,2203320,0,537,738.73,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Northern Europe,Europe
169,129,44,129,,"Cray XC40, Intel Xeon E5-2670v2  10C 2.5GHz/E5-2680v3 12C 2.5Ghz, Aries interconnect ",Deutscher Wetterdienst,Cray Inc.,Germany,2014,Research,17648,0,390568,560320,2004479,0,,,Cluster,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Cray Linux Environment ,Linux,None,10,Intel Xeon E5 (IvyBridge),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
170,128,42,385,,"Cray XC40, Intel Xeon E5-2670v2  10C 2.5GHz/E5-2680v3 12C 2.5Ghz, Aries interconnect ",Deutscher Wetterdienst,Cray Inc.,Germany,2013,Research,17648,0,390568,560320,2004479,0,,,Cluster,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Cray Linux Environment ,Linux,None,10,Intel Xeon E5 (IvyBridge),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
171,130,43,99,,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",Aerospace Company (E),Hewlett-Packard,Germany,2014,Industry,21240,0,389507.6,458784,0,0,,,Cluster,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,Western Europe,Europe
172,131,41,69,PARAM Yuva - II,"R2208GZ Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Center for Development of Advanced Computing (C-DAC),Netweb Technologies,India,2013,Research,30056,26520,388442,520357.76,1225088,0,209.95,1850.16,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,CentOS,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),R2208GZ Cluster,Netweb Cluster,Infiniband,Infiniband FDR,South-central Asia,Asia
173,132,43,101,camellia,"Cray XC30, Intel Xeon E5-2670v2  10C 2.500GHz, Aries interconnect , Intel Xeon Phi 5120D","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray Inc.,Japan,2014,Academic,33600,28800,380504,581280,1242880,0,165.3,2301.9,MPP,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Cray Linux Environment ,Linux,Intel Xeon Phi 5120D,10,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia
174,133,40,59,MVS-10P,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X",Joint Supercomputer Center,RSC Group,Russia,2012,Academic,28704,25376,375700,523577.6,1180160,0,222.7,1687.02,Cluster,Xeon E5-2690 8C 2.9GHz,Intel SandyBridge,2900,Linux,Linux,Intel Xeon Phi SE10X,8,Intel Xeon E5 (SandyBridge),RSC Tornado,RSC Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
175,134,43,103,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet",IT Service Provider,Hewlett-Packard,United States,2014,Industry,28608,0,374946.6,572160,0,0,,,Cluster,Xeon E5-2640 6C 2.5GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
